"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"";"2X05WV";"2X05WV";"J1, J2, J3";"";"";
"1";"";"6410-3P";"6410-3P";"J4";"6410/22-27-2031";"";
"3";"";"6410-4P";"6410-4P";"J5, J6, J7";"6410/22-27-2041";"";
"5";"100n";"C-0805";"0805";"C1, C2, C3, C4, C6";"";"";
"13";"10k";"R-0805";"0805";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R12, R13, R14, R18";"";"";
"1";"27k";"R-0805";"0805";"R20";"";"";
"2";"330R";"R-0805";"0805";"R10, R11";"";"";
"1";"33R";"R-0805";"0805";"R19";"";"";
"1";"369-1-008";"MICMA08B";"MICMA08B";"X3";"";"";
"7";"BAV99";"D-BAV99";"SOT23";"D1, D2, D3, D4, D5, D6, D7";"";"";
"3";"BC846";"BC846";"SOT23";"Q1, Q2, Q3";"";"";
"1";"BC846B";"BC846";"SOT23";"Q5";"";"";
"4";"BOHR3,1";"BOHR3,1";"BOHR3,1";"DRL1, DRL2, DRL3, DRL4";"";"";
"3";"HCF4066BM1";"4066";"SO-14";"IC1, IC2, IC3";"Quadruple bilateral switches";"";
"1";"LL4148";"LL4148";"SOD80C";"D8";"";"";
"1";"M24C01-WMN";"M24CXX-WMN";"SO-08";"IC4";"";"";
"1";"PRO_MICRO";"PRO_MICRO";"PRO_MICRO";"M1";"";"";
"1";"RMP-14P/HT";"RMP-14P/HT";"RMP-14P/HT";"SPK1";"";"";
